Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Rahul Buddhi,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Rahul Chahar,Bowler ,42,11,31,0,0,3,0,4.42,96.87,11,0,4,1,41,150,0,1117,43,3,0,25.97,7.44,20.93,41,BOWLER,0.75,5.25,1,1
Rahul Tewatia,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.4,9,0,1
Rahul Tripathi,Batsman ,62,60,1385,0,7,136,48,26.13,136.31,23,0,1,4,1,1,0,12,0,0,0,,12,,1,BATSMAN,0.4,8.5,0,1
Raj Bawa,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajvardhan Hangargekar,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.3,1.5,0,1
Ramandeep Singh,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Ramesh Kumar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Rasikh Dar,Bowler ,1,1,5,0,0,0,0,,125,1,0,0,0,1,4,0,42,0,0,0,,10.5,,1,BOWLER,0.2,0.2,0,1
Rassie van der Dussen,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Meredith,Bowler ,5,1,0,0,0,0,0,,0,,,1,0,5,17,0,169,4,0,0,42.25,9.94,25.5,5,BOWLER,1,1,1,0
Rinku Singh,Batsman ,10,8,77,0,0,6,2,11,101.31,6,0,0,0,,,,,,,,,,,,BATSMAN,0.2,0.55,0,1
Ripal Patel,All-Rounder ,2,2,25,0,0,3,0,25,92.59,,,0,0,1,3,0,22,0,0,0,,7.33,,1,ALL-ROUNDER,0.2,0.2,0,1
